Trace
Swept SA
A.18.17,N9030B
96216000,-95.2506713869943
96217000,-95.6290512088643
96218000,-94.866882324424
96219000,-96.7302780159935
96220000,-96.1091384893017
96221000,-96.7541503914976
96222000,-95.4887619021862
96223000,-95.4933776858788
96224000,-96.3842239386454
96225000,-96.9483261118526
96226000,-97.2611923230646
96227000,-96.3895950323981
96228000,-96.3841934210673
96229000,-96.1776580816156
96230000,-94.8059158327154
96231000,-92.7128601074612
96232000,-92.9856567383298
96233000,-96.3402328497564
96234000,-96.7255477913811
96235000,-96.5359649665585
96236000,-97.0761718761171
96237000,-97.1486053478606
96238000,-95.1850128176448
96239000,-95.3630218508863
96240000,-97.3728408827501
96241000,-97.4067382826894
96242000,-97.6309890764165
96243000,-96.4334106452137
96244000,-96.5605621345414
96245000,-96.1713790899137
96246000,-96.9497146616584
96247000,-97.6856689470952
96248000,-98.1187591577582
96249000,-97.6656188982399
96250000,-97.3704528822593
96251000,-97.1962814343304
96252000,-95.7829284672113
96253000,-95.4230346682833
96254000,-94.5707015992847
96255000,-94.7910995485336
96256000,-94.9020614626133
96257000,-96.8286437997522
96258000,-96.5989913948178
96259000,-95.8614807133308
96260000,-95.7821044926017
96261000,-94.5498428346337
96262000,-90.8785247802831
96263000,-90.3144149780336
96264000,-90.9062576294044
96265000,-93.8893814087885
96266000,-92.4667816162435
96267000,-92.3095626831344
96268000,-91.9057388305876
96269000,-88.4008789062515
96270000,-89.1738204956081
96271000,-93.124870300347
96272000,-93.1032791138226
96273000,-93.9432678223668
96274000,-93.0747528076692
96275000,-94.1359176636915
96276000,-93.876205444432
96277000,-95.2548675539874
96278000,-95.2787475588754
96279000,-95.8944778446898
96280000,-95.9738464360267
96281000,-96.3121490484735
96282000,-95.9776840214774
96283000,-96.2736053472835
96284000,-96.2828445440652
96285000,-96.4500656134843
96286000,-94.4541091920442
96287000,-94.9812164308882
96288000,-96.3105621344103
96289000,-96.0693435674109
96290000,-95.1669235232077
96291000,-94.3423309327545
96292000,-94.4756469728084
96293000,-94.5033798219328
96294000,-93.5292892456791
96295000,-89.7839889526409
96296000,-89.7639465332072
96297000,-93.1932678223225
96298000,-94.1712036134017
96299000,-93.5115280152094
96300000,-93.5115203858148
